状态,终端MAC地址,终端IP地址,关联SSID,关联频段,关联信道,关联微AP名称,关联AP名称,AC名称,位置,AC的IP地址,关联AP的IP地址,账号,终端在线时长(s)
离线,52-E6-2B-A0-25-D9,,,2.4G,,,前湖北-游泳馆-dt,ncu-wlan-local,无线/前湖北/游泳馆,10.1.0.14,10.62.0.14,,0
离线,B0-47-E9-F4-97-0F,,NCUWLAN,2.4G,,,前湖北-艺术楼-b-3f-02,NCDX-AC-H3C,无线/前湖北/艺术楼,10.1.0.16,10.63.0.22,"365031296447576201,1,1756616632",0
离线,4A-4E-28-36-F4-AB,,,2.4G,,,前湖北-建工楼-2f-a220,ncu-wlan-master,无线/前湖北/建工楼,10.1.0.13,10.54.136.185,,0
离线,42-5C-92-25-AB-25,,NCUWLAN,5G,,,东湖南-研究生楼-502,NCDX-AC-H3C,无线/东湖南/研究生楼,10.1.0.16,10.74.0.7,,0
离线,62-BB-4F-98-C8-95,,NCUWLAN,2.4G,,,东湖南-研究生楼-502,NCDX-AC-H3C,无线/东湖南/研究生楼,10.1.0.16,10.74.0.7,,0
离线,F2-78-AE-F1-7C-D8,,,2.4G,,,blg-3f-3,ncu-wlan-master,,10.1.0.13,10.76.161.177,,0
离线,12-53-C6-3E-83-E4,10.202.166.20,NCUWLAN,2.4G,,,前湖北-机电楼-E624-G1,NCU_HW_AC1,无线/前湖北/机电楼,10.1.0.18,10.151.129.113,,0
离线,C2-CC-8C-9D-04-B6,10.208.134.6,NCUWLAN,5G,149,,东湖南-科技楼-6F-06,RUIJIE-AC,无线/东湖南/科技楼,10.1.0.15,10.75.128.6,,0
离线,22-3D-B6-E3-0A-31,,NCUWLAN,5G,,,前湖北-音乐厅-1f-1,NCDX-AC-H3C,无线/前湖北/音乐厅,10.1.0.16,10.183.5.78,,0
离线,12-00-B6-71-F6-D5,,,2.4G,,,东湖南-基础教学楼-3f-393,ncu-wlan-master,无线/东湖南/基础教学楼,10.1.0.13,10.81.0.90,,0
离线,12-94-1A-45-A8-F1,10.208.177.49,NCUWLAN,5G,149,,东湖南-科技楼-6F-06,RUIJIE-AC,无线/东湖南/科技楼,10.1.0.15,10.75.128.6,,0
离线,CE-5C-A4-33-E5-A8,,,2.4G,,,东湖南-成教楼-411,ncu-wlan-master,无线/东湖南/成教学院,10.1.0.13,10.81.0.75,,0
离线,1E-0E-20-D7-6C-15,10.210.8.83,NCUWLAN,2.4G,,,blg-3f-3,ncu-wlan-master,,10.1.0.13,10.76.161.177,,0
在线,EE-74-3B-6D-25-F8,,NCUWLAN,5G,,,前湖北-信工楼-C302-1,NCU_HW_AC1,无线/前湖北/信工楼,10.1.0.18,10.133.1.131,"371259175780481954,2,1758077295",7816
离线,5A-9D-51-A8-41-28,,NCUWLAN,5G,,,前湖北-慧源楼-3FBMDTK-1,NCDX-AC-H3C,无线/前湖北/慧源楼,10.1.0.16,10.155.8.153,"046913755149664660,1,1757411495",0
离线,92-D8-10-79-0F-8E,10.202.181.84,NCUWLAN,5G,,,前湖北-机电楼-E101-1,NCU_HW_AC1,无线/前湖北/机电楼,10.1.0.18,10.151.129.89,"780481538030533897,1,1757421698",0
离线,92-F0-34-57-7C-90,10.208.110.141,NCUWLAN,2.4G,11,,东湖南-基础教学楼-345,RUIJIE-AC,无线/东湖南/基础教学楼,10.1.0.15,10.81.0.112,,0
离线,E2-E0-F7-89-13-FF,,NCUWLAN,5G,,,东湖南-研究生楼-401,NCDX-AC-H3C,无线/东湖南/研究生楼,10.1.0.16,10.74.0.3,,0
离线,22-35-07-81-A7-E4,10.208.94.22,NCUWLAN,2.4G,11,,东湖南-科技楼-6F-04,RUIJIE-AC,无线/东湖南/科技楼,10.1.0.15,10.75.128.120,,0
离线,32-5D-07-3D-AD-C3,,NCUWLAN,2.4G,,,青山湖北-室外-上海路北门,NCDX-AC-H3C,,10.1.0.16,10.76.132.226,,0
